
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E6:D6:73:E2:C6:B0, 2025-12-16 16:15:57, 2025-12-16 16:16:11,  6, 130, WPA2, CCMP, PSK, -21,       30,        0,   0.  0.  0.  0,  14, Adi’s iPhone, 
8C:0C:90:3C:38:59, 2025-12-16 16:15:57, 2025-12-16 16:16:06, 11, 130, OPN, ,   , -69,        2,        0,   0.  0.  0.  0,  12, PCET Wi-Fi 9, 
8C:0C:90:FC:38:58, 2025-12-16 16:15:57, 2025-12-16 16:16:12, 11, 130, OPN, ,   , -73,        4,        0,   0.  0.  0.  0,  12, PCET Wi-Fi 8, 
8C:0C:90:BC:38:51, 2025-12-16 16:15:57, 2025-12-16 16:16:11, 11, 130, OPN, ,   , -74,        3,        0,   0.  0.  0.  0,  13, PCET Wi-Fi 21, 
C4:75:AB:2E:49:97, 2025-12-16 16:15:57, 2025-12-16 16:16:07,  1, 130, WPA3 WPA2, CCMP, SAE CMAC PSK, -76,        2,        0,   0.  0.  0.  0,   3, SKY, 
DE:07:B6:D8:2B:26, 2025-12-16 16:15:57, 2025-12-16 16:16:09,  2, 195, WPA2, CCMP, PSK, -85,        6,        0,   0.  0.  0.  0,   0, , 
CE:45:68:4C:95:B7, 2025-12-16 16:15:57, 2025-12-16 16:16:09,  1, 180, WPA2, CCMP, PSK, -60,       13,       18,   0.  0.  0.  0,   9, vivo T2x , 
96:B8:D7:F2:FE:DE, 2025-12-16 16:15:57, 2025-12-16 16:16:02,  1, 180, WPA2, CCMP, PSK, -84,        3,        0,   0.  0.  0.  0,  16, OPPO F21s Pro 5G, 
36:61:5E:56:A5:6E, 2025-12-16 16:15:57, 2025-12-16 16:16:09,  1, 180, WPA2, CCMP, PSK, -46,        7,        0,   0.  0.  0.  0,  11, iQOO Z7s 5G, 
70:47:77:5A:D7:70, 2025-12-16 16:15:57, 2025-12-16 16:16:07,  1, 130, WPA3 WPA2, CCMP, SAE PSK, -78,        3,        0,   0.  0.  0.  0,  14, EnTC 5th Floor, 
52:61:BD:47:10:68, 2025-12-16 16:15:57, 2025-12-16 16:16:07,  1, 180, WPA3 WPA2, CCMP, SAE PSK, -77,        3,        9,   0.  0.  0.  0,   6, dishaa, 
34:68:95:19:53:A6, 2025-12-16 16:15:58, 2025-12-16 16:16:11,  6,  65, OPN, ,   , -65,       20,        0,   0.  0.  0.  0,  28, HP-Print-A6-LaserJet Pro MFP, 
D4:BD:4F:13:83:D9, 2025-12-16 16:15:58, 2025-12-16 16:16:11,  6, 360, OPN, ,   , -84,        9,       38,  10. 90.  2. 57,  14, Girls Hostel 2, 
D4:BD:4F:13:83:D8, 2025-12-16 16:15:58, 2025-12-16 16:16:11,  6, 360, OPN, ,   , -83,       14,        0,   0.  0.  0.  0,  17, New Boys Hostel 1, 
76:1E:52:A4:06:8E, 2025-12-16 16:15:58, 2025-12-16 16:16:11,  6, 360, WPA3 WPA2, CCMP, SAE PSK, -66,       15,        2,   0.  0.  0.  0,  20, Mahesh's Moto edge50, 
